DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/30/2016,17:45,,,40.758316,-73.91069,POINT (-73.91069 40.758316),,,48 STREET                               ,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3454149,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/09/2018,16:00,,,40.728854999999996,-73.92782,POINT (-73.92782 40.728855),BROOKLYN QUEENS EXPRESSWAY      ,,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4017774,Taxi,Sedan,,,
12/20/2018,20:09,,,,,,NEW ENGLAND THRUWAY             ,,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4049269,Tractor Truck Diesel,Sedan,,,
03/19/2017,12:30,BROOKLYN,11209.0,40.62622,-74.02337,POINT (-74.02337 40.62622),,,509       79 STREET                     ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3635651,PASSENGER VEHICLE,,,,
06/21/2017,14:25,BROOKLYN,11203.0,40.65578,-73.943954,POINT (-73.943954 40.65578),,,470       CLARKSON AVENUE               ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3696271,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
05/31/2016,10:15,,,40.76948,-73.95787,POINT (-73.95787 40.76948),EAST 73 STREET                  ,,,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3454349,PASSENGER VEHICLE,PICK-UP TRUCK,,,
04/04/2018,22:52,MANHATTAN,10022.0,40.755653,-73.96798000000001,POINT (-73.96798 40.755653),,,965       2 AVENUE                      ,1.0,0.0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,3876579,PASSENGER VEHICLE,,,,
11/14/2014,21:59,,,,,,LIBERTY AVENUE                  ,VANWYCK EXPRESSWAY              ,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,2824200,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
08/23/2014,5:50,BRONX,10465,40.8190599,-73.81135929999999,POINT (-73.8113593 40.8190599),EAST 177 STREET                 ,MEAGHER AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,1012612,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/05/2015,19:30,QUEENS,11413.0,40.6801176,-73.7532369,POINT (-73.7532369 40.6801176),MERRICK BOULEVARD               ,SPRINGFIELD BOULEVARD           ,,0.0,0.0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,,,,3234578,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
05/09/2016,16:48,BROOKLYN,11224.0,40.579390000000004,-73.98002,POINT (-73.98002 40.57939),,,1206      NEPTUNE AVENUE                ,0.0,0.0,0,0,0,0,0,0,Unspecified,,,,,3438152,PASSENGER VEHICLE,OTHER,,,
05/09/2015,22:20,BROOKLYN,11217,40.6851972,-73.97827590000001,POINT (-73.9782759 40.6851972),FLATBUSH AVENUE                 ,STATE STREET                    ,,0.0,0.0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3217932,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
02/18/2017,20:41,BRONX,10461.0,40.842735,-73.83856,POINT (-73.83856 40.842735),,,1311      WATERS PLACE                  ,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Unspecified,Unspecified,,,3618727,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
04/04/2013,14:35,BRONX,10456,40.8295972,-73.902241,POINT (-73.902241 40.8295972),EAST 168 STREET                 ,BOSTON ROAD                     ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,79540,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/09/2019,14:00,BROOKLYN,11236.0,40.633316,-73.913376,POINT (-73.913376 40.633316),,,971       EAST 78 STREET                ,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4093716,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/28/2015,15:00,BRONX,10468,40.866600899999995,-73.8954437,POINT (-73.8954437 40.8666009),EAST KINGSBRIDGE ROAD           ,CRESTON AVENUE                  ,,0.0,0.0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3193971,PASSENGER VEHICLE,UNKNOWN,,,
01/29/2018,15:00,STATEN ISLAND,10306.0,40.581264000000004,-74.11221,POINT (-74.11221 40.581264),RICHMOND ROAD                   ,LINCOLN AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3836744,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/22/2016,8:17,,,40.7244,-73.9818,POINT (-73.9818 40.7244),Bruckner Expy                   ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3411749,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/05/2014,14:35,,,,,,,,,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,Unspecified,,,,2919399,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/27/2017,19:45,QUEENS,11372.0,40.749493,-73.88333,POINT (-73.88333 40.749493),,,37-50     83 STREET                     ,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3607229,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,
05/30/2013,8:30,BROOKLYN,11225,40.6574524,-73.9565592,POINT (-73.9565592 40.6574524),BEDFORD AVENUE                  ,HAWTHORNE STREET                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,154144,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/12/2014,19:02,,,40.602674,-73.8993198,POINT (-73.8993198 40.602674),,,,0.0,0.0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,Unspecified,,,2950591,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,
12/12/2015,21:50,BRONX,10454,40.8107277,-73.92464790000001,POINT (-73.9246479 40.8107277),EAST 139 STREET                 ,ALEXANDER AVENUE                ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3351961,PASSENGER VEHICLE,LIVERY VEHICLE,,,
05/18/2017,23:15,BRONX,10455.0,40.818335999999995,-73.907005,POINT (-73.907005 40.818336),EAST 156 STREET                 ,JACKSON AVENUE,,2.0,0.0,0,0,0,0,2,0,Physical Disability,Unspecified,,,,3673131,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
05/23/2019,13:00,MANHATTAN,10038.0,40.71022,-74.00775,POINT (-74.00775 40.71022),FULTON STREET                   ,NASSAU STREET,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4138367,Ambulance,Taxi,,,
08/16/2017,10:00,MANHATTAN,10025.0,,,,WEST 106 STREET                 ,MANHATTAN AVENUE,,0.0,0.0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3732453,TAXI,SPORT UTILITY / STATION WAGON,,,
12/08/2013,12:15,BROOKLYN,11219,40.625983399999996,-74.0015202,POINT (-74.0015202 40.6259834),65 STREET                       ,13 AVENUE                       ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,144055,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
09/09/2017,16:45,,,40.608757000000004,-74.03808599999999,POINT (-74.038086 40.608757),VERRAZANO BRIDGE LOWER          ,,,0.0,0.0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3747205,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
03/27/2019,9:41,MANHATTAN,10021.0,40.76781,-73.96202,POINT (-73.96202 40.76781),EAST 69 STREET                  ,3 AVENUE,,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4104411,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
01/20/2014,12:56,BRONX,10461,40.8444894,-73.8462338,POINT (-73.8462338 40.8444894),EASTCHESTER ROAD                ,WILLIAMSBRIDGE ROAD             ,,0.0,0.0,0,0,0,0,0,0,Unspecified,Unspecified,,,,91785,SPORT UTILITY / STATION WAGON,PICK-UP TRUCK,,,
